!Landuses: 1=See GeoClassLegend_20171027xlsx													
!Soils: 1=Water&Floodplain; 2=Urban; 3=Rock_Notexture; 4=AverageSoil; 5=RiceSoil: 													
!Combination	ElevLanduse	Soil	Cropid-main	Cropid-2nd	Rotation	Vegetationstyp	Special-class	Tile-depth	Drain-depth	#Soil-layers	Depth1	Depth2	Depth3
63	63	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
64	64	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
65	65	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
66	66	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
67	67	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
68	68	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
69	69	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
70	70	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
71	71	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
72	72	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
73	73	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
74	74	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
75	75	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
76	76	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
77	77	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
78	78	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
79	79	4	0	0	0	2	0	0	1.5	3	0.25	1	2
80	80	4	0	0	0	2	0	0	1.5	3	0.25	1	2
81	81	4	0	0	0	1	0	0	1.5	3	0.25	1	2
82	82	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
83	83	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
84	84	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
85	85	4	1	0	0	1	0	0	1.25	3	0.25	0.75	1.5
86	86	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
87	87	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
88	88	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
89	89	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
90	90	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
91	91	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
92	92	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
93	93	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
94	94	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
95	95	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
96	96	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
97	97	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
98	98	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
99	99	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
100	100	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
101	101	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
102	102	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
103	103	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
104	104	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
105	105	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
106	106	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
107	107	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
108	108	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
109	109	4	0	0	0	2	0	0	1.5	3	0.25	1	2
110	110	4	0	0	0	2	0	0	1.5	3	0.25	1	2
111	111	4	0	0	0	1	0	0	1.5	3	0.25	1	2
112	112	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
113	113	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
114	114	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
115	115	4	1	0	0	1	0	0	1.25	3	0.25	0.75	1.5
116	116	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
117	117	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
118	118	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
119	119	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
120	120	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
121	121	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
122	122	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
123	123	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
124	124	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
125	125	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
126	126	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
127	127	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
128	128	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
129	129	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
130	130	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
131	131	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
132	132	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
133	133	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
134	134	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
135	135	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
136	136	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
137	137	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
138	138	4	0	0	0	2	0	0	1.5	3	0.25	1	2
139	139	4	0	0	0	2	0	0	1.5	3	0.25	1	2
140	140	4	0	0	0	1	0	0	1.5	3	0.25	1	2
141	141	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
142	142	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
143	143	4	1	0	0	1	0	0	1	3	0.25	0.6	1.25
144	144	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
145	145	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
146	146	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
147	147	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
148	148	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
149	149	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
150	150	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
151	151	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
152	152	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
153	153	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
154	154	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
155	155	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
156	156	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
157	157	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
158	158	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
159	159	4	0	0	0	1	0	0	0.75	3	0.25	0.45	1
160	160	4	0	0	0	1	0	0	0.75	3	0.25	0.45	1
161	161	4	0	0	0	1	0	0	0.75	3	0.25	0.45	1
162	162	4	0	0	0	2	0	0	1.25	3	0.25	0.85	1.75
163	163	4	0	0	0	2	0	0	1.25	3	0.25	0.85	1.75
164	164	4	0	0	0	1	0	0	1.25	3	0.25	0.85	1.75
165	165	5	2	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5
166	166	5	2	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5
167	167	5	2	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5
168	168	5	2	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5
169	169	5	2	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5
